euroc_mh1_752/5000/2 : {'above_tracked': 3632, 'above_total': 3632, 'below_tracked': 50, 'below_total': 50}
euroc_mh1_752/5000/3 : {'above_tracked': 3627, 'above_total': 3632, 'below_tracked': 50, 'below_total': 50}
euroc_mh1_752/10000/1 : {'above_tracked': 3419, 'above_total': 3419, 'below_tracked': 263, 'below_total': 263}
euroc_mh1_752/10000/2 : {'above_tracked': 3419, 'above_total': 3419, 'below_tracked': 263, 'below_total': 263}
euroc_mh1_752/10000/3 : {'above_tracked': 3419, 'above_total': 3419, 'below_tracked': 263, 'below_total': 263}
euroc_mh2_752/500/1 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/500/2 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/500/3 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/750/1 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/750/2 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/750/3 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/1000/1 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/1000/2 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/1000/3 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/1250/1 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/1250/2 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/1250/3 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/2500/1 : {'above_tracked': 3032, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/2500/2 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/2500/3 : {'above_tracked': 3040, 'above_total': 3040, 'below_tracked': 0, 'below_total': 0}
euroc_mh2_752/5000/1 : {'above_tracked': 3034, 'above_total': 3035, 'below_tracked': 5, 'below_total': 5}
euroc_mh2_752/5000/2 : {'above_tracked': 3034, 'above_total': 3035, 'below_tracked': 5, 'below_total': 5}
euroc_mh2_752/5000/3 : {'above_tracked': 3034, 'above_total': 3035, 'below_tracked': 5, 'below_total': 5}
euroc_mh2_752/10000/1 : {'above_tracked': 2673, 'above_total': 2700, 'below_tracked': 340, 'below_total': 340}
